passer,season,team,plays,qb_epa,headshot_href
A.Smith,2018,WAS,370,-0.023269326,https://a.espncdn.com/i/headshots/nfl/players/full/8416.png
B.Bortles,2014,JAX,552,-0.197808028,https://a.espncdn.com/i/headshots/nfl/players/full/16724.png
B.Bortles,2015,JAX,646,0.062017376,https://a.espncdn.com/i/headshots/nfl/players/full/16724.png
B.Bortles,2016,JAX,693,-0.074371255,https://a.espncdn.com/i/headshots/nfl/players/full/16724.png
B.Bortles,2017,JAX,616,0.059884318,https://a.espncdn.com/i/headshots/nfl/players/full/16724.png
B.Bortles,2018,JAX,571,-0.037413419,https://a.espncdn.com/i/headshots/nfl/players/full/16724.png
B.Hoyer,2014,CLE,471,-0.012345588,https://a.espncdn.com/i/headshots/nfl/players/full/12477.png
B.Hoyer,2015,HOU,356,0.038360886,https://a.espncdn.com/i/headshots/nfl/players/full/12477.png
B.Mayfield,2018,CLE,532,0.056042158,https://a.espncdn.com/i/headshots/nfl/players/full/3052587.png
B.Mayfield,2019,CLE,591,-0.011350778,https://a.espncdn.com/i/headshots/nfl/players/full/3052587.png
B.Mayfield,2020,CLE,499,0.16298797,https://a.espncdn.com/i/headshots/nfl/players/full/3052587.png
B.Osweiler,2016,HOU,507,-0.083409665,https://a.espncdn.com/i/headshots/nfl/players/full/14879.png
B.Roethlisberger,2013,PIT,635,0.086165745,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
B.Roethlisberger,2014,PIT,641,0.217253678,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
B.Roethlisberger,2015,PIT,516,0.150828391,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
B.Roethlisberger,2016,PIT,646,0.14408122,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
B.Roethlisberger,2017,PIT,692,0.132715098,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
B.Roethlisberger,2018,PIT,773,0.196798873,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
B.Roethlisberger,2020,PIT,628,0.07409429,https://a.espncdn.com/i/headshots/nfl/players/full/5536.png
C.Beathard,2017,SF,254,-0.193848483,
C.Henne,2013,JAX,553,-0.086420809,
C.Kaepernick,2013,SF,502,0.145866807,https://a.espncdn.com/i/headshots/nfl/players/full/14001.png
C.Kaepernick,2014,SF,671,0.052366697,https://a.espncdn.com/i/headshots/nfl/players/full/14001.png
C.Kaepernick,2015,SF,298,-0.058457673,https://a.espncdn.com/i/headshots/nfl/players/full/14001.png
C.Kaepernick,2016,SF,374,-0.000714828,https://a.espncdn.com/i/headshots/nfl/players/full/14001.png
C.Keenum,2016,LA,390,-0.093190075,https://a.espncdn.com/i/headshots/nfl/players/full/15168.png
C.Keenum,2017,MIN,523,0.127975351,https://a.espncdn.com/i/headshots/nfl/players/full/15168.png
